Date,Close,Open,High,Low,Change %
2016-03-14,126.41,126.86,127.19,126.01,-0.39%
2016-03-15,125.74,126.37,126.52,125.05,-0.53%
2016-03-16,126.38,125.70,126.60,125.47,0.51%
2016-03-17,126.08,126.33,126.63,125.29,-0.24%
2016-03-18,125.74,126.09,126.25,125.29,-0.27%
2016-03-21,125.85,125.73,126.11,125.21,0.09%
2016-03-22,126.05,125.84,126.29,124.65,0.16%
2016-03-23,125.69,126.05,126.30,125.52,-0.29%
2016-03-24,126.16,125.61,126.21,125.38,0.37%
2016-03-25,126.25,126.19,126.50,125.92,0.07%
2016-03-28,127.02,126.25,127.09,126.18,0.61%
2016-03-29,127.24,127.00,127.48,126.79,0.17%
2016-03-30,127.47,127.23,127.85,126.76,0.18%
2016-03-31,128.11,127.48,128.26,126.95,0.50%
2016-04-01,127.17,128.09,128.19,127.06,-0.73%
2016-04-04,126.83,127.24,127.38,126.44,-0.27%
2016-04-05,125.64,126.83,126.88,125.19,-0.94%
2016-04-06,125.16,125.64,125.86,124.83,-0.38%
2016-04-07,123.11,125.16,125.28,122.56,-1.64%
2016-04-08,123.19,123.14,124.27,122.94,0.06%
2016-04-11,123.14,123.25,123.75,122.82,-0.04%
2016-04-12,123.59,123.14,124.03,123.03,0.37%
2016-04-13,123.28,123.58,123.89,122.98,-0.25%
2016-04-14,123.28,123.30,123.47,122.73,0.00%
2016-04-15,122.72,123.31,123.63,122.57,-0.45%
2016-04-18,123.12,122.22,123.38,121.69,0.33%
2016-04-19,124.03,123.15,124.49,123.03,0.74%
2016-04-20,124.09,123.99,124.36,123.52,0.05%
2016-04-21,123.55,124.09,124.98,123.39,-0.44%
2016-04-22,125.58,123.57,125.59,123.40,1.64%
2016-04-25,125.31,125.55,125.56,124.78,-0.22%
2016-04-26,125.77,125.25,125.99,124.66,0.37%
2016-04-27,126.19,125.75,126.38,125.39,0.33%
2016-04-28,122.74,126.20,126.50,122.50,-2.73%
2016-04-29,121.85,122.73,122.97,121.67,-0.73%
2016-05-02,122.73,121.69,122.95,121.59,0.72%
2016-05-03,122.56,122.73,122.81,122.09,-0.14%
2016-05-04,122.93,122.58,123.26,122.27,0.30%
2016-05-05,122.33,122.92,123.14,122.08,-0.49%
2016-05-06,122.18,122.37,122.50,121.51,-0.12%
2016-05-09,123.31,122.13,123.73,121.92,0.92%
2016-05-10,124.26,123.33,124.49,123.26,0.77%
2016-05-11,123.84,124.28,124.44,123.59,-0.34%
2016-05-12,124.04,123.88,124.67,123.68,0.16%
2016-05-13,122.81,124.04,124.16,122.72,-0.99%
2016-05-16,123.42,122.78,123.55,122.61,0.50%
2016-05-17,123.48,123.43,124.22,123.19,0.05%
2016-05-18,123.61,123.47,123.94,122.94,0.11%
2016-05-19,123.19,123.59,123.78,122.92,-0.34%
2016-05-20,123.64,123.20,124.08,123.05,0.37%
2016-05-23,122.55,123.52,123.67,122.39,-0.88%
2016-05-24,122.55,122.55,122.73,122.33,0.00%
2016-05-25,122.95,122.55,123.14,122.42,0.33%
2016-05-26,122.87,122.93,123.11,122.25,-0.07%
2016-05-27,122.53,122.86,123.09,122.17,-0.28%
2016-05-30,123.87,122.54,123.95,122.54,1.09%
2016-05-31,123.25,123.78,124.25,122.97,-0.50%
2016-06-01,122.57,123.22,123.36,121.89,-0.55%
2016-06-02,121.39,122.56,122.70,121.05,-0.96%
2016-06-03,121.09,121.41,122.05,120.79,-0.25%
2016-06-06,122.12,121.00,122.38,120.81,0.85%
2016-06-07,121.94,122.14,122.74,121.67,-0.15%
2016-06-08,121.90,121.92,122.05,121.33,-0.03%
2016-06-09,121.19,121.96,122.10,120.33,-0.58%
2016-06-10,120.37,121.20,121.25,119.91,-0.68%
2016-06-13,119.97,120.34,120.39,118.99,-0.33%
2016-06-14,118.94,119.97,120.14,118.52,-0.86%
2016-06-15,119.36,118.91,119.53,118.69,0.35%
