Date,Close,Open,High,Low,Change %
2016-12-13,1.0627,1.0635,1.0668,1.0603,-0.08%
2016-12-14,1.0537,1.0627,1.0671,1.0495,-0.85%
2016-12-15,1.0414,1.0536,1.0544,1.0366,-1.17%
2016-12-16,1.0451,1.0419,1.0477,1.0402,0.36%
2016-12-19,1.0402,1.0442,1.0480,1.0391,-0.47%
2016-12-20,1.0387,1.0405,1.0419,1.0352,-0.14%
2016-12-21,1.0425,1.0389,1.0452,1.0381,0.37%
2016-12-22,1.0437,1.0423,1.0501,1.0421,0.12%
2016-12-23,1.0457,1.0438,1.0469,1.0427,0.19%
2016-12-26,1.0456,1.0454,1.0473,1.0439,-0.01%
2016-12-27,1.0457,1.0453,1.0465,1.0431,0.01%
2016-12-28,1.0412,1.0459,1.0484,1.0373,-0.43%
2016-12-29,1.0492,1.0417,1.0494,1.0406,0.77%
2016-12-30,1.0516,1.0492,1.0654,1.0482,0.23%
2017-01-02,1.0459,1.0532,1.0534,1.0448,-0.54%
2017-01-03,1.0406,1.0455,1.0492,1.0341,-0.51%
2017-01-04,1.0488,1.0405,1.0501,1.0389,0.79%
2017-01-05,1.0607,1.0493,1.0619,1.0482,1.13%
2017-01-06,1.0533,1.0606,1.0624,1.0523,-0.70%
2017-01-09,1.0574,1.0539,1.0584,1.0510,0.39%
2017-01-10,1.0554,1.0573,1.0628,1.0551,-0.19%
2017-01-11,1.0582,1.0556,1.0624,1.0454,0.27%
2017-01-12,1.0613,1.0583,1.0687,1.0573,0.29%
2017-01-13,1.0644,1.0612,1.0674,1.0598,0.29%
2017-01-16,1.0603,1.0618,1.0638,1.0580,-0.39%
2017-01-17,1.0713,1.0600,1.0720,1.0595,1.04%
2017-01-18,1.0631,1.0713,1.0715,1.0625,-0.77%
2017-01-19,1.0664,1.0629,1.0677,1.0588,0.31%
2017-01-20,1.0703,1.0667,1.0713,1.0627,0.37%
2017-01-23,1.0765,1.0687,1.0773,1.0686,0.58%
2017-01-24,1.0731,1.0763,1.0775,1.0718,-0.32%
2017-01-25,1.0748,1.0734,1.0773,1.0713,0.16%
2017-01-26,1.0682,1.0746,1.0767,1.0657,-0.61%
2017-01-27,1.0699,1.0685,1.0729,1.0661,0.16%
2017-01-30,1.0695,1.0692,1.0743,1.0620,-0.04%
2017-01-31,1.0798,1.0695,1.0814,1.0684,0.96%
2017-02-01,1.0769,1.0798,1.0810,1.0731,-0.27%
2017-02-02,1.0758,1.0766,1.0829,1.0753,-0.10%
2017-02-03,1.0784,1.0759,1.0800,1.0714,0.24%
2017-02-06,1.0750,1.0781,1.0801,1.0703,-0.32%
2017-02-07,1.0681,1.0750,1.0751,1.0654,-0.64%
2017-02-08,1.0699,1.0682,1.0715,1.0640,0.17%
2017-02-09,1.0656,1.0699,1.0711,1.0650,-0.40%
2017-02-10,1.0641,1.0658,1.0670,1.0609,-0.14%
2017-02-13,1.0598,1.0633,1.0659,1.0591,-0.40%
2017-02-14,1.0577,1.0596,1.0633,1.0560,-0.20%
2017-02-15,1.0601,1.0577,1.0611,1.0523,0.23%
2017-02-16,1.0674,1.0600,1.0682,1.0588,0.69%
2017-02-17,1.0614,1.0675,1.0679,1.0605,-0.56%
2017-02-20,1.0614,1.0618,1.0637,1.0606,0.00%
2017-02-21,1.0537,1.0611,1.0618,1.0526,-0.73%
2017-02-22,1.0556,1.0534,1.0574,1.0493,0.18%
2017-02-23,1.0581,1.0558,1.0598,1.0539,0.24%
2017-02-24,1.0563,1.0583,1.0620,1.0557,-0.17%
2017-02-27,1.0587,1.0562,1.0633,1.0551,0.23%
2017-02-28,1.0577,1.0587,1.0632,1.0570,-0.09%
2017-03-01,1.0547,1.0574,1.0589,1.0514,-0.28%
2017-03-02,1.0507,1.0547,1.0551,1.0492,-0.38%
2017-03-03,1.0623,1.0508,1.0626,1.0502,1.10%
2017-03-06,1.0581,1.0617,1.0644,1.0575,-0.40%
2017-03-07,1.0566,1.0583,1.0603,1.0557,-0.14%
2017-03-08,1.0541,1.0566,1.0576,1.0535,-0.24%
2017-03-09,1.0577,1.0541,1.0617,1.0525,0.34%
2017-03-10,1.0672,1.0577,1.0702,1.0572,0.90%
2017-03-13,1.0654,1.0671,1.0715,1.0650,-0.17%
2017-03-14,1.0604,1.0655,1.0664,1.0599,-0.47%
2017-03-15,1.0735,1.0605,1.0743,1.0604,1.24%
2017-03-16,1.0766,1.0734,1.0772,1.0706,0.29%
2017-03-17,1.0738,1.0765,1.0784,1.0728,-0.26%
2017-03-20,1.0739,1.0740,1.0779,1.0725,0.01%
2017-03-21,1.0811,1.0740,1.0822,1.0720,0.67%
2017-03-22,1.0797,1.0810,1.0827,1.0776,-0.13%
2017-03-23,1.0783,1.0797,1.0807,1.0769,-0.13%
2017-03-24,1.0799,1.0784,1.0820,1.0761,0.15%
2017-03-27,1.0865,1.0797,1.0905,1.0795,0.61%
2017-03-28,1.0813,1.0864,1.0873,1.0797,-0.48%
2017-03-29,1.0767,1.0811,1.0827,1.0739,-0.43%
2017-03-30,1.0675,1.0766,1.0772,1.0671,-0.85%
2017-03-31,1.0652,1.0675,1.0705,1.0652,-0.22%
2017-04-03,1.0671,1.0661,1.0684,1.0644,0.18%
2017-04-04,1.0673,1.0669,1.0678,1.0635,0.02%
2017-04-05,1.0663,1.0672,1.0690,1.0633,-0.09%
2017-04-06,1.0644,1.0663,1.0686,1.0629,-0.18%
2017-04-07,1.0590,1.0644,1.0668,1.0580,-0.51%
2017-04-10,1.0596,1.0593,1.0609,1.0571,0.06%
2017-04-11,1.0602,1.0595,1.0631,1.0577,0.06%
2017-04-12,1.0666,1.0606,1.0677,1.0589,0.60%
2017-04-13,1.0614,1.0664,1.0679,1.0609,-0.49%
2017-04-14,1.0612,1.0615,1.0633,1.0606,-0.02%
2017-04-17,1.0644,1.0615,1.0673,1.0604,0.30%
2017-04-18,1.0734,1.0644,1.0737,1.0636,0.85%
2017-04-19,1.0711,1.0730,1.0738,1.0700,-0.21%
2017-04-20,1.0717,1.0711,1.0780,1.0709,0.06%
2017-04-21,1.0728,1.0719,1.0739,1.0682,0.10%
2017-04-24,1.0867,1.0890,1.0936,1.0819,1.30%
2017-04-25,1.0926,1.0868,1.0951,1.0851,0.54%
2017-04-26,1.0903,1.0924,1.0951,1.0856,-0.21%
2017-04-27,1.0873,1.0903,1.0933,1.0851,-0.28%
2017-04-28,1.0897,1.0877,1.0949,1.0857,0.22%
2017-05-01,1.0899,1.0906,1.0924,1.0883,0.02%
2017-05-02,1.0930,1.0901,1.0936,1.0889,0.28%
2017-05-03,1.0885,1.0930,1.0939,1.0883,-0.41%
2017-05-04,1.0985,1.0884,1.0987,1.0873,0.92%
2017-05-05,1.0998,1.0991,1.1003,1.0951,0.12%
2017-05-08,1.0924,1.0998,1.1024,1.0917,-0.67%
2017-05-09,1.0873,1.0924,1.0934,1.0863,-0.47%
2017-05-10,1.0868,1.0874,1.0900,1.0853,-0.05%
2017-05-11,1.0861,1.0869,1.0894,1.0838,-0.06%
2017-05-12,1.0931,1.0863,1.0937,1.0857,0.64%
2017-05-15,1.0975,1.0926,1.0991,1.0922,0.40%
2017-05-16,1.1082,1.0976,1.1098,1.0972,0.97%
2017-05-17,1.1159,1.1083,1.1163,1.1079,0.69%
2017-05-18,1.1103,1.1160,1.1173,1.1075,-0.50%
2017-05-19,1.1207,1.1103,1.1214,1.1097,0.94%
2017-05-22,1.1238,1.1202,1.1265,1.1162,0.28%
2017-05-23,1.1183,1.1237,1.1269,1.1174,-0.49%
2017-05-24,1.1219,1.1184,1.1222,1.1169,0.32%
2017-05-25,1.1210,1.1218,1.1252,1.1193,-0.08%
2017-05-26,1.1183,1.1211,1.1235,1.1159,-0.24%
2017-05-29,1.1166,1.1178,1.1191,1.1160,-0.15%
2017-05-30,1.1185,1.1166,1.1208,1.1111,0.17%
2017-05-31,1.1244,1.1187,1.1254,1.1166,0.53%
2017-06-01,1.1213,1.1242,1.1258,1.1203,-0.28%
2017-06-02,1.1282,1.1213,1.1287,1.1205,0.62%
2017-06-05,1.1254,1.1279,1.1286,1.1235,-0.25%
2017-06-06,1.1277,1.1254,1.1286,1.1240,0.20%
2017-06-07,1.1257,1.1277,1.1284,1.1205,-0.18%
2017-06-08,1.1214,1.1257,1.1270,1.1195,-0.38%
2017-06-09,1.1195,1.1216,1.1240,1.1168,-0.17%
2017-06-12,1.1203,1.1196,1.1235,1.1193,0.07%
2017-06-13,1.1216,1.1204,1.1225,1.1185,0.12%
2017-06-14,1.1218,1.1210,1.1296,1.1191,0.02%
2017-06-15,1.1145,1.1219,1.1231,1.1132,-0.65%
2017-06-16,1.1197,1.1143,1.1202,1.1138,0.47%
2017-06-19,1.1149,1.1199,1.1214,1.1141,-0.43%
2017-06-20,1.1134,1.1147,1.1166,1.1117,-0.13%
2017-06-21,1.1168,1.1133,1.1171,1.1128,0.31%
2017-06-22,1.1153,1.1168,1.1179,1.1140,-0.13%
2017-06-23,1.1194,1.1152,1.1211,1.1145,0.37%
